name,address,zip_code,city,state,country,latitude,longitude,rating
Girl & The Goat,809 W Randolph,60607,Chicago,IL,US,41.88418081770163,-87.64794679938692,4.4
The Perch,1932 W Division,60622,Chicago,IL,US,41.90348,-87.676221,4.4
The Dearborn,145 N Dearborn St,60602,Chicago,IL,US,41.8842528,-87.6293151,4.4
The Purple Pig,444 N Michigan Ave,60611,Chicago,IL,US,41.890694,-87.624782,4.3
Penumbra,3309 W Fullerton Ave,60647,Chicago,IL,US,41.924426,-87.710898,4.8
etta - Bucktown,1840 W North Ave,60622,Chicago,IL,US,41.910731,-87.674285,4.3
Giant,3209 W Armitage Ave,60647,Chicago,IL,US,41.9171,-87.70746,4.3
Amaru,1904 W North Ave,60622,Chicago,IL,US,41.910699,-87.675507,4.7
Ciccio Mio,226 W Kinzie St,60654,Chicago,IL,US,41.88939,-87.63524,4.7
The Whale Chicago,2427 N Milwaukee Ave,60647,Chicago,IL,US,41.92555,-87.70112,4.2
La Serre,307 N Green St,60607,Chicago,IL,US,41.88699,-87.64848,5.0
Au Cheval,800 W Randolph St,60607,Chicago,IL,US,41.88466,-87.647668,4.4
Daisies,2375 N Milwaukee Ave,60647,Chicago,IL,US,41.924443845390954,-87.69964666704485,4.3
No Vacancy,509 N Wells St,60654,Chicago,IL,US,41.89115,-87.63375,4.6
Kasama,1001 N Winchester Ave,60622,Chicago,IL,US,41.899692,-87.6756,4.5
Lone Owl Pub,1547 N Milwaukee Ave,60622,Chicago,IL,US,41.90976697949441,-87.67605189999999,4.6
Aba,302 N Green St,60607,Chicago,IL,US,41.8869441,-87.6487949,4.5
Mother’s Ruin,2943 N Milwaukee Ave,60618,Chicago,IL,US,41.93495,-87.71647,4.3
Armitage Alehouse,1000 W Armitage Ave,60614,Chicago,IL,US,41.91838,-87.65359,4.6
Italian Homemade Company,947 W Fulton Market St,60607,Chicago,IL,US,41.88662,-87.65168,4.7
Sushi Plus Rotary Sushi Bar,2131 S Archer Ave,60616,Chicago,IL,US,41.853511,-87.632959,4.3
Phodega,1924 W Division St,60622,Chicago,IL,US,41.90334127310094,-87.6758734,4.3
Nettare,1953 W Chicago Ave,60622,Chicago,IL,US,41.89575065216653,-87.67662461847067,4.4
Boeufhaus,1012 N Western Ave,60622,Chicago,IL,US,41.899831,-87.687487,4.3
Izakaya Shinya,2255 W North Ave,60647,Chicago,IL,US,41.91014,-87.68452,4.5
Forbidden Root,1746 W Chicago Ave,60622,Chicago,IL,US,41.89628,-87.671551,4.3
Atta Girl,2829 W Armitage Ave,60647,Chicago,IL,US,41.91735098704713,-87.69846185188875,3.6
Tortello,1746 W Division St,60622,Chicago,IL,US,41.90343739642855,-87.67186413269891,4.3
Testaccio,2456 N California Ave,60647,Chicago,IL,US,41.9265,-87.6978,4.3
Cindy's Rooftop,12 S Michigan Ave,60603,Chicago,IL,US,41.8816894031196,-87.6250061730162,4.1
Desert Hawk,2049 W Division St,60622,Chicago,IL,US,41.90288666670101,-87.67917606979607,4.8
Union,2202 N California Ave,60647,Chicago,IL,US,41.9218,-87.69769,4.4
Qing Xiang Yuan Dumplings,2002 S Wentworth Ave,60616,Chicago,IL,US,41.85505,-87.63219,4.3
Nora Restaurant,636 N St Clair St,60611,Chicago,IL,US,41.893643,-87.622858,4.7
En Hakkore 2.0,1467 N Milwaukee Ave,60622,Chicago,IL,US,41.90859268098761,-87.67442096514347,4.6
Mott St,1401 N Ashland Ave,60622,Chicago,IL,US,41.9071254164458,-87.6673834605751,4.0
Mirella’s Tavern,2056 W Division St,60622,Chicago,IL,US,41.90337419999999,-87.679574,5.0
Trivoli Tavern,114 N Green St,60607,Chicago,IL,US,41.8837221888722,-87.64903867652058,4.5
NoodleBird,2957 W Diversey,60647,Chicago,IL,US,41.93194357461772,-87.7023888774715,4.3
Rose Mary,932 W Fulton Market,60607,Chicago,IL,US,41.88698,-87.65119,4.4
Shabu Plus Rotary Hot Pot Wicker Park,1352 N Milwaukee Ave,60622,Chicago,IL,US,41.9062306,-87.6713937,4.4
The VIG Chicago,1527 N Wells St,60610,Chicago,IL,US,41.9099251,-87.6345035,4.1
Cafe Istanbul,2014 W Division St,60622,Chicago,IL,US,41.9034987,-87.6778866,4.5
1308 Chicago,1308 N Elston Ave,60642,Chicago,IL,US,41.90591,-87.65993,4.7
Wake ‘n Bacon,420 W Belmont Ave,60657,Chicago,IL,US,41.940442,-87.64041,4.1
Pierogi Kitchen,1856 West North Ave,60622,Chicago,IL,US,41.91071,-87.67484,4.7
The Evie,537 N Michigan Ave,60611,Chicago,IL,US,41.892207051940055,-87.62390403884024,4.6
Dell Rooster - Chicago,1825 W Chicago Ave,60622,Chicago,IL,US,41.89575636351244,-87.67324000597,4.8
Tama,1952 N Damen Ave,60647,Chicago,IL,US,41.91745673780549,-87.67789549999999,5.0
Dear Margaret,2965 N Lincoln Ave,60657,Chicago,IL,US,41.93589,-87.66294,4.6
