name,address,zip_code,city,state,country,latitude,longitude,rating
Mio’s Grill & Cafe Clearwater,1261 Gulf Blvd,33767,Tampa Bay,FL,US,27.951909,-82.829741,5.0
Clear Sky Cafe,490 Mandalay Ave,33767,Clearwater,FL,US,27.981959985096253,-82.8272973318265,4.4
Sandbar,430 S Gulfview Blvd,33767,Clearwater Beach,FL,US,27.96974573262212,-82.83057920073323,4.3
Badfins Food + Brew,215 S Gulfview Blvd,33767,Clearwater,FL,US,27.97448,-82.828724,4.3
Hacienda Corralejo Mexican Kitchen,1228 Cleveland St,33755,Clearwater,FL,US,27.966096,-82.786228,4.2
The Salty Crab Bar & Grill North Beach,462 Mandalay Ave,33767,Clearwater Beach,FL,US,27.980736,-82.827345,4.4
Antojitos Dona Chirris,2095 N Highland Ave,33755,Clearwater,FL,US,27.9968784,-82.775358,4.8
SeaGuini,430 S Gulfview Blvd,33767,Clearwater,FL,US,27.969629,-82.83004,4.4
Mr and Mrs Crab,23886 US Highway 19 N,33765,Clearwater,FL,US,27.988962593631,-82.7309461434861,4.2
Rumba Island Bar & Grill,1800 Gulf To Bay Blvd,33765,Clearwater,FL,US,27.961472817396253,-82.76249192202799,4.1
Guppys on the Beach,1701 Gulf Blvd,33785,Indian Rocks Beach,FL,US,27.90008,-82.847977,4.4
Frenchy's Rockaway Grill,7 Rockaway St,33767,Clearwater Beach,FL,US,27.983428,-82.827809,4.0
Watercolour Grillhouse,1201 Gulf Blvd,33767,Clearwater Beach,FL,US,27.953437,-82.828345,3.8
Cabanas Coastal Grill,655 S Gulfview Blvd,33767,Clearwater,FL,US,27.96644251392328,-82.8257597,4.4
Crabby's Dockside,37 Causeway Blvd,33767,Clearwater Beach,FL,US,27.976924,-82.827421,4.0
The Little Lamb,2475 N McMullen Booth Rd,33759,Clearwater,FL,US,28.01142245066576,-82.71097466135363,4.6
Ocean Seven,385 S Gulfview Blvd,33767,Clearwater Beach,FL,US,27.971544,-82.829114,5.0
Taco-Quila Mexican Kitchen and Cantina,22996 US Hwy,33765,Clearwater,FL,US,27.981583691378535,-82.73007641951341,4.4
Cristino's Coal Oven Pizza,1101 S Fort Harrison Ave,33756,Clearwater,FL,US,27.9543263,-82.7996168,4.6
Cesare's  At The Beach,794 S Gulfview Blvd,33767,Clearwater,FL,US,27.9663373,-82.8231807,4.3
Gigglewaters,737 Main St,34695,Safety Harbor,FL,US,27.99107,-82.69477,4.4
Kpicu,1443 S Belcher Rd,33764,Clearwater,FL,US,27.9438702,-82.74548100312475,4.8
Columbia Restaurant,1241 Gulf Blvd,33767,Clearwater Beach,FL,US,27.952637730559225,-82.82907914497835,4.0
Clear Sky on Cleveland,418 Cleveland St,33755,Clearwater,FL,US,27.965888,-82.8005450602041,4.2
Bacon Street Diner,27001 US Hwy 19 N,33761,Clearwater,FL,US,28.016856399345304,-82.73425596681088,4.6
Ken Sushi & Asian Bistro,2801 Gulf To Bay Blvd,33759,Clearwater,FL,US,27.9604586466971,-82.7213904679842,4.5
DeLukas Restaurant and Bar,1343 Cleveland St,33755,Tampa Bay,FL,US,27.965297643843677,-82.7812484,4.7
The Black Pearl,315 Main St,34698,Dunedin,FL,US,28.01183,-82.78943,4.6
The Bait House Tackle & Tavern,45 Causeway Blvd,33767,Clearwater Beach,FL,US,27.97699160302556,-82.82456895890132,4.4
Saigon Bowl,2129 Drew St,33765,Clearwater,FL,US,27.96737,-82.74907,4.5
Curries Authentic Indian Cuisine,29000 US Hwy 19 N,33761,Clearwater,FL,US,28.03595248890368,-82.73888650384976,4.8
Loaded,1901 Drew St,33765,Clearwater,FL,US,27.96768,-82.75862,4.6
Mirage Restaurant,2284 Gulf To Bay Blvd,33765,Clearwater,FL,US,27.960850760200373,-82.74287966378503,4.4
Prohibition Dunedin,1600 Main St,34698,Dunedin,FL,US,28.01979,-82.76046,4.1
Mangos & Marley A Coastal Cafe,506 Main St,34698,Dunedin,FL,US,28.0129,-82.7856,4.8
The Deep End,691 S Gulfview Blvd,33767,Clearwater Beach,FL,US,27.966018279824382,-82.82455148582079,4.1
Caretta on the Gulf,500 Mandalay Ave,33767,Clearwater,FL,US,27.982328323513592,-82.82794608189928,4.1
Sara's Kebab House,1751 S Missouri Ave,33756,Clearwater,FL,US,27.9329719,-82.78796,4.5
The Restorative,420 Patricia Ave,34698,Dunedin,FL,US,28.00528,-82.7756649,4.6
Don Pancho Villa,21565 US Hwy 19 N,33765,Clearwater,FL,US,27.9684435674972,-82.7292048135895,4.3
Frenchy's Saltwater Cafe,419 Poinsettia Ave,33767,Clearwater Beach,FL,US,27.978968,-82.826326,4.0
Fusion Street Eatery,422 Patricia Ave,34698,Dunedin,FL,US,28.00562,-82.77584,4.6
Joven’s Cali Mex Grill,435 S Myrtle Ave,33756,Clearwater,FL,US,27.96161720825788,-82.79574520259449,4.7
Nine Spices Hotpot - Clearwater,2543 Countryside Blvd,33761,Clearwater,FL,US,28.01376,-82.7328,3.9
Umai Cafe,601 South Fort Harrison Ave,33756,Clearwater,FL,US,27.959405,-82.7998151,4.4
Matjoa Korean BBQ,3580 Ulmerton Rd,33762,Clearwater,FL,US,27.893248059236218,-82.68203441408478,4.4
