name,address,zip_code,city,state,country,latitude,longitude,rating
Adelina,1040 Woodward Ave,48226,Detroit,MI,US,42.332922,-83.047456,5
Mad Nice,4120 Second Ave,48201,Detroit,MI,US,42.3491,-83.06496,4.1
Selden Standard,3921 2nd Ave,48201,Detroit,MI,US,42.34779,-83.06499,4.4
Alpino,1426 Bagley St,48216,Detroit,MI,US,42.32994587232396,-83.0651019,4.6
Presley's,1 Park Ave,48226,Detroit,MI,US,42.33567515284477,-83.050527,4.1
Sexy Steak,1942 Grand River Ave,48226,Detroit,MI,US,42.33502,-83.05498,4.5
BARDA Detroit,4842 Grand River Ave,48208,Detroit,MI,US,42.3485,-83.08786,4.4
Ottava Via,1400 Michigan Ave,48216,Detroit,MI,US,42.331716,-83.065696,4.2
Oak & Reel,2921 E Grand Blvd,48202,Detroit,MI,US,42.372277784099786,-83.0668194,4.5
Grey Ghost Detroit,47 Watson St,48201,Detroit,MI,US,42.34517044,-83.05551711,4.2
Wright & Company,1500 Woodward Ave,48226,Detroit,MI,US,42.33523,-83.04902,4.3
Bar Pigalle,2915 John R St,48201,Detroit,MI,US,42.344947,-83.05397,4.4
Babo Detroit,15 E Kirby St,48202,Detroit,MI,US,42.36055625,-83.0664664,4.4
The Eagle,3461 Woodward Ave,48201,Detroit,MI,US,42.34626025,-83.05742177,4.2
Chartreuse Kitchen & Cocktails,15 E Kirby St,48202,Detroit,MI,US,42.36029831844176,-83.06625957,4.6
Supergeil,2442 Michigan Ave,48216,Detroit,MI,US,42.331566,-83.080071,4.5
Ima Izakaya,2100 Michigan Ave,48216,Detroit,MI,US,42.33163354764796,-83.0753548,4.4
Grandma Bob's,2135 Michigan Ave,48216,Detroit,MI,US,42.33113,-83.07584,4.5
Basan Detroit,2703 Park Ave,48201,Detroit,MI,US,42.34147,-83.05672,4.1
Batch Brewing Company,1400 Porter St,48216,Detroit,MI,US,42.328343,-83.06329395,4.5
Cibo Modern Mediterranean,600 W Lafayette Blvd,48226,Detroit,MI,US,42.32906,-83.05463,4.2
Standby,225 Gratiot Ave,48226,Detroit,MI,US,42.33448446,-83.04611406,4.4
Bash Original Izakaya,5069 Trumbull St,48208,Detroit,MI,US,42.352967,-83.079469,4.5
Union Assembly,2131 Woodward Ave,48201,Detroit,MI,US,42.338024,-83.051814,4
Lumen Detroit,1903 Grand River Ave,48226,Detroit,MI,US,42.3345218,-83.0546893,4
Takoi,2520 Michigan Ave,48216,Detroit,MI,US,42.33164324,-83.08083436,4.3
Olin Bar & Kitchen,25 E Grand River Ave,48226,Detroit,MI,US,42.334545,-83.048142,4.4
SheWolf Pastificio & Bar,438 Selden St,48201,Detroit,MI,US,42.34795300282243,-83.06269722,4.3
Cork & Gabel,2415 Michigan Ave,48216,Detroit,MI,US,42.33111,-83.07941,4.1
Dime Store,719 Griswold St,48226,Detroit,MI,US,42.33080606,-83.04799241,4.4
Leila,1245 Griswold St,48226,Detroit,MI,US,42.333249,-83.049995,4.2
Hamilton's,1401 Michigan Ave,48216,Detroit,MI,US,42.33109045554418,-83.0653954,3.8
Yum Village,6500 Woodward Ave,48202,Detroit,MI,US,42.369378,-83.072277,4.2
Ima Noodles,4870 Cass Ave,48201,Detroit,MI,US,42.35582257,-83.06631669,4.3
Mink,1701 Trumbull,48216,Detroit,MI,US,42.329556,-83.065869,4.8
Vigilante Kitchen + Bar,644 Selden St,48201,Detroit,MI,US,42.347484,-83.065554,3.9
Detroit Shipping Company,474 Peterboro St,48201,Detroit,MI,US,42.34401907742649,-83.06146027,4.1
Baobab Fare,6568 Woodward Ave,48202,Detroit,MI,US,42.370077,-83.072813,4.8
Le Suprême,1265 Washington Blvd,48226,Detroit,MI,US,42.33355156,-83.05137064,4.3
Johnny Noodle King,2601 W Fort,48216,Detroit,MI,US,42.3188542,-83.0743694,4
Saffron De Twah,7636 Gratiot Ave,48213,Detroit,MI,US,42.37633,-83.01584,4.6
Bobcat Bonnie's,1800 Michigan Ave,48216,Detroit,MI,US,42.3315449,-83.0707433,3.9
BasBlue Cafe,110 E Ferry St,48202,Detroit,MI,US,42.36163662887919,-83.06507343,4.7
Taqueria Lupita's,3443 Bagley St,48216,Detroit,MI,US,42.32289,-83.08538,4.1
Flowers of Vietnam,4440 W Vernor Hwy,48209,Detroit,MI,US,42.32025,-83.096543,4.1
Ash-Bar Detroit,1509 Broadway St,48226,Detroit,MI,US,42.33569388111624,-83.04861814,4.4
Second Best Detroit,42 Watson St,48201,Detroit,MI,US,42.344965,-83.055255,4.1
Marrow,8044 Kercheval Ave,48214,Detroit,MI,US,42.35852,-82.99882,4.4
Folk,1701 Trumbull Ave,48216,Detroit,MI,US,42.32955639204327,-83.06589327,4
