name,address,zip_code,city,state,country,latitude,longitude,rating
L'Antica Pizzeria Da Michele,1534 N Mccadden Pl,90028,Los Angeles,CA,US,34.09906082844746,-118.3373093612014,4.3
Republique,624 S La Brea Ave,90036,Los Angeles,CA,US,34.064154,-118.343684,4.2
GRANVILLE,8701 Beverly Blvd,90048,West Hollywood,CA,US,34.0771299,-118.38068,4.4
Kingyubu,3128 West 8th St,90005,Los Angeles,CA,US,34.057451,-118.295235,4.8
Running Goose,1620 N Cahuenga Blvd,90028,Los Angeles,CA,US,34.10052,-118.32927,4.3
Anju House,234 S Oxford Ave,90004,Los Angeles,CA,US,34.0701519575396,-118.3076326,4.3
Great White,244 N Larchmont Blvd,90004,Los Angeles,CA,US,34.07587723057971,-118.3233931,4.1
OSTE,8142 W 3rd St,90048,Los Angeles,CA,US,34.07211,-118.367363,4.7
Roasted Duck By Paord,5136 Hollywood Blvd,90027,Los Angeles,CA,US,34.101457,-118.301858,4.9
Hangari Kalguksu,3470 W 6th St,90020,Los Angeles,CA,US,34.0628602582049,-118.297570301258,4.4
Met Her At A Bar,759 S La Brea Ave,90036,Los Angeles,CA,US,34.0609448,-118.3446759,4.4
Enchant,681 S Western Ave,90005,Los Angeles,CA,US,34.060420911180366,-118.309614,4.0
HanEuem,539 S Western Ave,90020,Los Angeles,CA,US,34.064166,-118.309516,4.4
Dasom By Chef Kang,3959 Wilshire Blvd,90010,Los Angeles,CA,US,34.062128,-118.313381,4.8
Mother Tongue,960 N La Brea Ave,90038,Los Angeles,CA,US,34.08841220860647,-118.343722784439,4.1
Ka'teen,6516 Selma Ave,90028,Los Angeles,CA,US,34.09948,-118.33167,4.0
Pine & Crane,1521 Griffith Park Blvd,90026,Los Angeles,CA,US,34.09053958699736,-118.27712889122982,4.4
Met Him At A Bar,801 S La Brea,90036,Los Angeles,CA,US,34.060415,-118.345018,4.3
Pasta Sisters,3343 W Pico Blvd,90019,Los Angeles,CA,US,34.0476,-118.317234,4.4
The Highlight Room Grill,6417 Selma Ave,90028,Los Angeles,CA,US,34.10016,-118.33014,3.8
Jemma Hollywood,1717 Vine Street,90028,Los Angeles,CA,US,34.10237501283114,-118.32733166957146,4.5
Hoy-Ka Thai Restaurant,5908 Sunset Blvd,90028,Los Angeles,CA,US,34.09784367,-118.31833767,4.3
OUI MELROSE,6909 Melrose Ave,90038,Los Angeles,CA,US,34.083653,-118.3419599,4.4
The Front Yard,4222 Vineland Ave,91602,North Hollywood,CA,US,34.145172,-118.369529,4.0
Louders,3470 W 6th St,90020,Los Angeles,CA,US,34.06309,-118.29754,4.5
Osteria Mamma,5732 Melrose Ave,90038,Los Angeles,CA,US,34.0833586783984,-118.324724939274,4.0
Bao Dim Sum House,8256 Beverly Blvd,90048,Los Angeles,CA,US,34.07577,-118.36982,4.0
Hui Tou Xiang,1643 N Cahuenga Blvd,90028,Los Angeles,CA,US,34.101,-118.32968,4.3
Fixins Soul Kitchen - Los Angeles,800 W Olympic Blvd,90015,Los Angeles,CA,US,34.04484,-118.26453,4.4
Mom Please,5657 Wilshire Blvd,90036,Los Angeles,CA,US,34.062795,-118.351899,4.6
Fratelli Cafe,7200 Melrose Ave,90046,Los Angeles,CA,US,34.083342964773145,-118.3463794139044,4.4
Maccheroni Republic,332 S Broadway,90013,Los Angeles,CA,US,34.0500282776566,-118.24852800000085,4.4
Lemon Grove,1717 Vine St,90028,Los Angeles,CA,US,34.102376584352314,-118.3273158,4.4
CHD MANDU LA,3377 Wilshire Blvd,90010,Los Angeles,CA,US,34.06229367,-118.29757617,4.6
Cooking Mom,3660 Wilshire Blvd,90010,Los Angeles,CA,US,34.06151275641556,-118.3051741336309,4.8
Nardò West Hollywood,8022 W 3rd St,90048,Los Angeles,CA,US,34.071757,-118.364595,4.8
Burnin' Shell,3916 Wilshire Blvd,90010,Los Angeles,CA,US,34.061463,-118.311848,4.6
Osteria La Buca,5210 Melrose Ave,90038,Los Angeles,CA,US,34.0833366755519,-118.31393718099,4.1
Cento,4921 W Adams Blvd,90016,Los Angeles,CA,US,34.0327954,-118.3477496,4.5
La Pergoletta,1802 Hillhurst Ave,90027,Los Angeles,CA,US,34.1037812,-118.2872479,4.3
Lan Noodle,7100 Santa Monica Blvd,90046,West Hollywood,CA,US,34.089695,-118.344703,4.5
Han Bat Sul Lung Tang,4163 W 5th St,90020,Los Angeles,CA,US,34.06546312735243,-118.30961677418377,4.4
Marugame Monzo,329 E 1st St,90012,Los Angeles,CA,US,34.04994760027338,-118.24004464723886,4.4
Yuko Kitchen Miracle Mile,5484 Wilshire Blvd,90036,Los Angeles,CA,US,34.0621807,-118.348153,4.3
Mother Wolf,1545 Wilcox Ave,90028,Los Angeles,CA,US,34.09932,-118.33115,4.0
King Chang - LA,3732 W 6th St,90020,Los Angeles,CA,US,34.06329,-118.30372,4.8
Superba Food + Bread,6530 Sunset Blvd,90028,Los Angeles,CA,US,34.09761883,-118.33281533,4.4
Gus's World Famous Fried Chicken,1262 Crenshaw Blvd,90019,Los Angeles,CA,US,34.047983752108856,-118.32647314233768,4.2
Farmhouse Kitchen Thai Cuisine,5560 W Adams Blvd,90016,Los Angeles,CA,US,34.032278,-118.364408,4.4
Cabra Los Angeles,1060 S Broadway,90015,Los Angeles,CA,US,34.03973,-118.25852,4.5
