name,address,zip_code,city,state,country,latitude,longitude,rating
Olio e Più,3 Greenwich Ave,10014,New York,NY,US,40.733798036104304,-73.99977392649927,4.5
Antidote,66 S 2nd St,11249,Brooklyn,NY,US,40.714186,-73.965493,4.6
Thursday Kitchen,424 E 9th St,10009,New York,NY,US,40.72761,-73.98373,4.4
Time Out Market New York,55 Water St,11201,Brooklyn,NY,US,40.70342863348067,-73.99214637055226,4.0
Sukh,723 Fulton St,11217,Brooklyn,NY,US,40.687265,-73.976381,5.0
Cafe Mogador,133 Wythe Ave,11211,Brooklyn,NY,US,40.719747,-73.959993,4.4
Fishmarket Restaurant,111 South St,10038,New York,NY,US,40.70717,-74.00192,4.4
Amélie,22 W 8th St,10011,New York,NY,US,40.7327,-73.99766,4.3
Kong Sihk Tong 港食堂,65 Bayard St,10013,New York,NY,US,40.715433714742154,-73.9981186386701,4.1
Fish Cheeks,55 Bond St,10012,New York,NY,US,40.7258,-73.9927,4.4
Joe's Shanghai,46 Bowery St,10013,New York,NY,US,40.7156608,-73.9967012,3.8
Raku,48 Macdougal St,10012,New York,NY,US,40.7272479,-74.00253944171621,4.5
Kuun,290 Livingston St,11217,Brooklyn,NY,US,40.6884292,-73.9831506,4.3
The Leroy House,430 Hudson St,10014,New York,NY,US,40.73063,-74.00661,4.4
Gurumé,313 W 46th St,10036,New York,NY,US,40.760301,-73.988564,4.8
Bee's Knees & Honey Lounge,65 N 7th St,11249,Brooklyn,NY,US,40.72012525201896,-73.96125022806174,4.7
Barbalu - Brooklyn,68 Bergen St,11201,Brooklyn,NY,US,40.68675727907743,-73.99101547782092,4.4
Crab House All You Can Eat Seafood,135 E 55th St,10022,New York,NY,US,40.759664,-73.969776,4.4
Hojokban,128 Madison Ave,10016,New York,NY,US,40.745736,-73.984795,4.5
Westville,81 Washington St,11201,Brooklyn,NY,US,40.70208865020039,-73.9894541379247,4.2
Calle Dao Chelsea,461 W 23rd St,10011,New York,NY,US,40.74765439999999,-74.00352547055276,4.5
Shukette,230 9th Ave,10001,New York,NY,US,40.74745,-74.00041,4.5
Toriya,178 Stanton St,10002,New York,NY,US,40.72017,-73.98399,4.7
Bird Dog,525 Hudson St,10014,New York,NY,US,40.733983,-74.006549,4.4
Bourbon and Branch,155 W 33rd St,10001,New York City,NY,US,40.75032,-73.990457,4.6
The Standard East Village,25 Cooper Sq,10003,New York,NY,US,40.7278622696929,-73.99082132730517,4.8
Gatsby's Landing Times Square,120 West 44th St,10036,New York,NY,US,40.7565,-73.98427,4.3
The Reading Room,16 E 46th St,10017,New York,NY,US,40.7555,-73.97802,4.5
La Contenta,102 Norfolk St,10002,New York,NY,US,40.71873,-73.98691,4.5
Upstate Craft Beer & Oyster Bar,95 1st Ave,10003,New York,NY,US,40.726373,-73.986557,4.4
Red Sorghum 夜宴,28-03 Jackson Ave,11101,New York,NY,US,40.74852,-73.93789,4.4
Thai Diner,186 Mott St,10012,New York,NY,US,40.72071042964739,-73.9956057,4.1
Brickyard Craft Kitchen and Bar,23 Park Pl,10007,New York,NY,US,40.71333659013943,-74.008664,4.2
WarrenPeace,77 Warren St,10007,New York,NY,US,40.715022,-74.010284,4.7
Los Tacos No. 1,136 Church St,10007,New York,NY,US,40.714282,-74.008675,4.6
Otis,18 Harrison Pl,11206,Brooklyn,NY,US,40.706011,-73.932598,4.8
Luke's Lobster Brooklyn Bridge Park,11 Water St,11201,Brooklyn,NY,US,40.70359,-73.99411,3.9
Boqueria Soho,171 Spring St,10012,New York,NY,US,40.7249227818105,-74.00215536627918,4.1
Mokyo,109 St Marks Pl,10009,New York,NY,US,40.72714401116084,-73.98395721296154,4.6
L'Artusi,228 W 10th St,10014,New York,NY,US,40.73372,-74.00513,4.4
Cobble Fish,89 S St,10038,New York,NY,US,40.7054623,-74.0016428,4.1
Cecily,80 Franklin St,11222,Brooklyn,NY,US,40.72737986623227,-73.9569454,5.0
Sunday in Brooklyn,348 Wythe Ave,11249,Brooklyn,NY,US,40.714181240175115,-73.96532809508915,4.0
Radio Kwara,291 Greene Ave,11238,Brooklyn,NY,US,40.68747,-73.96019,4.8
Pranakhon Thai Restaurant,88 University Pl,10003,New York,NY,US,40.73369,-73.99316,4.6
Little Kirin,81 St Marks Pl,10003,New York,NY,US,40.72782,-73.98551,4.7
Ammazzacaffè,702 Grand St,11211,Brooklyn,NY,US,40.7113172,-73.9446243,4.3
Leland Eating and Drinking House ,755 Dean St,11238,Brooklyn,NY,US,40.679822105618534,-73.96511882543564,4.2
Mama Lee - Williamsburg,66 Grand St,11249,Brooklyn,NY,US,40.715591,-73.9649236,4.4
Tonchin,109 N 3rd St,11249,Brooklyn,NY,US,40.71676616063315,-73.9616957,4.3
