name,address,zip_code,city,state,latitude,longitude,ratings
Abbey Road,974 58th St N,33710,Saint Petersburg,FL,27.7815129,-82.7123591,3
Arby's,9597 4th St N,33702,Saint Petersburg,FL,27.8591073,-82.6381944,3
Barney's of St. Pete,10411 Gandy Blvd N,33702,Saint Petersburg,FL,27.866619,-82.631202,3
Black Coffee & Tasty Waffles,521 S Gulfview Blvd,33767,Clearwater,FL,27.96720193,-82.82789281,3
Boston Market,4001 E Bay Dr,33764,Clearwater,FL,27.91598579,-82.74527304,3
Burchard Galleries,2528 30th Ave N,33713,Saint Petersburg,FL,27.7988188,-82.6661058,3
Captain Crab,401 49th St S,33707,Saint Petersburg,FL,27.7671426,-82.7001074,3
Chili's,25987 US Hwy 19 N,33763,Clearwater,FL,28.00837175,-82.72987033,3
China 1,2014 34th St N,33713,Saint Petersburg,FL,27.790759,-82.6805128,3
China Crossings,10476 Roosevelt Blvd N,33716,Saint Petersburg,FL,27.8668095,-82.6454007,3
China Pearl,3313 Central Ave,33713,Saint Petersburg,FL,27.7715571,-82.678419,3
China99,1467 S Belcher Rd,33764,Clearwater,FL,27.9433219,-82.74550493,3
Cho Lon Oriental Market,"5944 34th St N, Ste 18",33714,Saint Petersburg,FL,27.826365,-82.679938,3
Circle K,3400 5th Ave N,33713,Saint Petersburg,FL,27.777005,-82.679403,3
Clearwater Country Club,525 N Betty Ln,33755,Clearwater,FL,27.971479,-82.781949,3
Dairy Queen Grill & Chill,3101 N 66th St,33710,Saint Petersburg,FL,27.80009368,-82.728034,3
Dunkin',580 Mandalay Ave,33767,Clearwater,FL,27.98524836,-82.82698746,3
Einstein Bros. Bagels,"5395 E Bay Dr, Ste 104",33764,Clearwater,FL,27.9155301,-82.7305076,3
Gyros & Seafood Express,1760 Dr Martin Luther King Jr St S,33701,Saint Petersburg,FL,27.752368,-82.64627,3
La Quinta Inn by Wyndham Clearwater Central,21338 US Hwy 19 North,33765,Clearwater,FL,27.966329,-82.7312029,3
Lil Net’s Home Style Cooking,1500 16th St S,33705,Saint Petersburg,FL,27.7550813,-82.6545559,3
Marco's Pizza,810 S Missouri Ave,33756,Clearwater,FL,27.95675,-82.78804,3
Marshalls,21323 US Hwy 19 N,33765,Clearwater,FL,27.96625203,-82.72825668,3
McDonald's,1500 S Belcher Rd,33764,Clearwater,FL,27.94177037,-82.74638108,3
Moe's Southwest Grill,2679 Gulf To Bay Blvd,33759,Clearwater,FL,27.95878808,-82.72678825,3
Mr. Joe's Off The Beach,5141 Seminole Blvd,33708,Saint Petersburg,FL,27.8191437,-82.7869484,3
New China,1678 S Missouri Ave,33756,Clearwater,FL,27.9357336,-82.7886316,3
Olive Garden Italian Restaurant,29461 US Hwy 19 N,33761,Clearwater,FL,28.03999147,-82.73750705,3
P.F. Chang's,"27001 US Highway 19 N, Ste 1150",33761,Clearwater,FL,28.01615571,-82.7345573,3
Party City,1960 Tyrone Blvd N,33710,Saint Petersburg,FL,27.78778942,-82.72556142,3
Philly's Famous Cheese Steaks,4375 E Bay Dr,33764,Clearwater,FL,27.91601,-82.7414677,3
Poblanos Mexican Grill & Bar,2451 N McMullen Booth Rd,33759,Clearwater,FL,28.01043348,-82.70988188,3
Reflections,400 Mandalay Ave,33767,Clearwater Beach,FL,27.9788772,-82.8279609,3
Sake House,"13505 Icot Blvd, Ste 207",33760,Clearwater,FL,27.89484,-82.713773,3
South Beach Tanning Company,5242 4th St N,33703,Saint Petersburg,FL,27.8198622,-82.6391652,3
Subway,3753 Ulmerton Rd,33762,Clearwater,FL,27.89451856,-82.6845208,3
Subway,"2451 Mcmullen Booth Rd, Ste 1",33759,Clearwater,FL,28.0104754,-82.7095503,3
Summerside Inn,1477 S Ft Harrison Ave,33756,Clearwater,FL,27.943217,-82.799562,3
Sunshine Nails,"4445 E Bay Dr, Ste 310",33764,Clearwater,FL,27.915499,-82.7410569,3
USF St. Petersburg Bookstore,"500 3rd St S, FPF 100",33701,Saint Petersburg,FL,27.7653613,-82.6366819,3
Wilson's Cocktail Lounges,3030 4th St N,33704,Saint Petersburg,FL,27.8000547,-82.6388381,3
Zein's Pizza Wings and Subs,2091 Highland Ave,33756,Clearwater,FL,27.99685302,-82.77535497,3
Aloha On the Beach,411 S Gulfview Blvd,33767,Clearwater Beach,FL,27.9708364,-82.8295391,3.5
Barefoot Beach House,332 S Gulfview Blvd,33767,Clearwater,FL,27.972399,-82.82998,3.5
Bob Evans,2183 Gulf To Bay Blvd,33765,Clearwater,FL,27.95963164,-82.74656922,3.5
Bob Heilman's Beachcomber Restaurant,447 Mandalay Ave,33767,Clearwater Beach,FL,27.9801452,-82.8268245,3.5
Brightwater Suites On Clearwater Beach,342 S Hamden Dr,33767,Clearwater,FL,27.9717644,-82.8280661,3.5
Burger Monger,2454 McMullen Booth Rd,33759,Clearwater,FL,28.01166425,-82.70794876,3.5
BurgerIm,"2561 Countryside Blvd, Ste 4",33761,Clearwater,FL,28.01309242,-82.73232364,3.5
Capogna's Dugout,1653 Gulf To Bay Blvd,33755,Clearwater,FL,27.9595987,-82.7686445,3.5
Carrabba's Italian Grill,2680 Gulf To Bay Blvd,33759,Clearwater,FL,27.9611367,-82.7266638,3.5
Cheddar's Scratch Kitchen,2655 Roosevelt Blvd,33760,Clearwater,FL,27.915771,-82.7274858,3.5
Cheesesteak Company,11270 4th St N,33716,Saint Petersburg,FL,27.874373,-82.6402203,3.5
Chick-fil-A,4241 4th St N,33703,Saint Petersburg,FL,27.810916,-82.638182,3.5
China 1,1875 N Highland Ave,33755,Clearwater,FL,27.9879293,-82.7749766,3.5
China Wok,3433 49th St N,33710,Saint Petersburg,FL,27.803417,-82.699448,3.5
China Wok,5055 34th St S,33711,Saint Petersburg,FL,27.721666,-82.6807564,3.5
