name,location,latitude,longitude,description,city,state
Manny's Cafeteria & Delicatessen,"1141 S Jefferson St (at Roosevelt Rd.), Chicago, IL 60607",41.867937,-87.641966,"Sandwich Spot, Deli, Dining and Drinking",CHICAGO,IL
Tuscany,"1014 W Taylor St (btwn Morgan & Miller), Chicago, IL 60607",41.869704,-87.651876,Italian Restaurant,CHICAGO,IL
Victory Tap,"1416 S Michigan Ave, Chicago, IL 60605",41.863558,-87.624441,"Bar, Pizzeria, Italian Restaurant",CHICAGO,IL
Trivoli Tavern,"114 N Green St, Chicago, IL 60607",41.883595,-87.649237,American Restaurant,CHICAGO,IL
One Twelve N Green Street,"112 N Green St (btwn Washington Blvd & Randolph St), Chicago, IL 60607",41.883633,-87.648978,BBQ Joint,CHICAGO,IL
Girl & The Goat,"809 W Randolph St (at Halsted St), Chicago, IL 60607",41.884118,-87.647966,"New American Restaurant, Gastropub",CHICAGO,IL
Avec,"615 W Randolph St (at N Jefferson St), Chicago, IL 60661",41.884262,-87.643221,"Wine Bar, French Restaurant, Mediterranean Restaurant",CHICAGO,IL
Au Cheval,"800 W Randolph St (at S Halsted St), Chicago, IL 60607",41.884666,-87.647653,"Burger Joint, Diner, New American Restaurant",CHICAGO,IL
Aba,"302 N Green St (Fulton St), Chicago, IL 60607",41.886927,-87.648959,"Mediterranean Restaurant, Tapas Restaurant",CHICAGO,IL
Gibsons Italia,"233 N Canal St (Fulton), Chicago, IL 60606",41.886647,-87.639547,"Italian Restaurant, Steakhouse",CHICAGO,IL
Bavette's Bar and Boeuf,"218 W Kinzie St (at N Wells St), Chicago, IL 60654",41.889338,-87.634936,"French Restaurant, Steakhouse",CHICAGO,IL
Piccolo Sogno,"464 N Halsted St (at Grand Ave), Chicago, IL 60642",41.890838,-87.647791,Italian Restaurant,CHICAGO,IL
RPM Seafood,"317 N Clark St, Chicago, IL 60654",41.888186,-87.630658,Seafood Restaurant,CHICAGO,IL
