name,location,latitude,longitude,description,city,state
Avalon Café and Bakery,"1049 Woodward Ave, Detroit, MI 48226",42.332509,-83.047829,"Bakery, Café, American Restaurant",DETROIT,MI
Standby,"225 Gratiot Ave (Gratiot And Broadway), Detroit, MI 48226",42.334481,-83.046019,"Cocktail Bar, New American Restaurant",DETROIT,MI
Lafayette Coney Island,"118 W Lafayette Blvd (at Michigan Ave), Detroit, MI 48226",42.331459,-83.04881,"Hot Dog Joint, Fast Food Restaurant, New American Restaurant",DETROIT,MI
The Royce,"76 W Adams Ave, Detroit, MI 48226",42.336582,-83.052439,"Dining and Drinking, Wine Bar",DETROIT,MI
Harry's Detroit,"2482 Clifford St (at I-75), Detroit, MI 48201",42.339291,-83.056271,"American Restaurant, Sports Bar",DETROIT,MI
Ottava Via,"1400 Michigan Ave, Detroit, MI 48216",42.33172,-83.065772,"Pizzeria, Italian Restaurant, Sandwich Spot",DETROIT,MI
Grey Ghost Detroit,"47 Watson St (at Woodward Ave), Detroit, MI 48201",42.34521,-83.055534,American Restaurant,DETROIT,MI
Bucharest Grill,"2684 E Jefferson Ave, Detroit, MI 48207",42.338707,-83.020779,"Hot Dog Joint, Lebanese Restaurant, Mediterranean Restaurant",DETROIT,MI
Rocco's Italian Deli,"3627 Cass Ave, Detroit, MI 48201",42.346453,-83.061662,"Deli, Italian Restaurant, Sandwich Spot",DETROIT,MI
Selden Standard,"3921 2nd Ave (Selden), Detroit, MI 48201",42.347779,-83.064893,New American Restaurant,DETROIT,MI
Green Dot Stables,"2200 W Lafayette Blvd (at 14th St), Detroit, MI 48216",42.321885,-83.071453,"Bar, Burger Joint, New American Restaurant",DETROIT,MI
Slows Bar-B-Q,"2138 Michigan Ave (at 14th St), Detroit, MI 48216",42.331641,-83.075957,"BBQ Joint, American Restaurant",DETROIT,MI
Johnny Noodle King,"2601 W Fort St (btwn Rosa Parks & the Ambassador Bridge), Detroit, MI 48216",42.318845,-83.074419,"American Restaurant, Ramen Restaurant, Noodle Restaurant",DETROIT,MI
Mexican Village Restaurant,"2600 Bagley St (at 18th St), Detroit, MI 48216",42.325494,-83.078322,"American Restaurant, Tex-Mex Restaurant",DETROIT,MI
Takoi,"2520 Michigan Ave, Detroit, MI 48216",42.331625,-83.080828,Thai Restaurant,DETROIT,MI
Supergeil,"2442 Michigan Ave, Detroit, MI 48216",42.3317,-83.080117,"Bar, French Restaurant, Mediterranean Restaurant",DETROIT,MI
La Gloria Bakery,"3345 Bagley St, Detroit, MI 48216",42.323305,-83.084269,"Bakery, Restaurant",DETROIT,MI
Kresge Court,"5200 Woodward Ave, Detroit, MI 48202",42.359398,-83.064462,"Café, Restaurant",DETROIT,MI
Pie-Sci,"5163 Trumbull St (Merrick), Detroit, MI 48208",42.353962,-83.080034,Pizzeria,DETROIT,MI
Taqueria Mi Pueblo,"7278 Dix St, Detroit, MI 48209",42.31717,-83.12416,"Taco Restaurant, Spanish Restaurant",DETROIT,MI
Buddy's Pizza,"17125 Conant St (at McNichols Rd.), Detroit, MI 48212",42.419001,-83.064027,Pizzeria,DETROIT,MI
La Dolce Vita,"17546 Woodward Ave (btwn McNichols & Nevada), Detroit, MI 48203",42.420232,-83.106446,Italian Restaurant,DETROIT,MI
