name,location,latitude,longitude,description,city,state
KazuNori,"421 S Main St (at Winston St), Los Angeles, CA 90013",34.047744,-118.247727,Sushi Restaurant,LOS ANGELES,CA
Bavel,"500 Mateo St, Los Angeles, CA 90013",34.041456,-118.232683,"American Restaurant, Mediterranean Restaurant, Middle Eastern Restaurant",LOS ANGELES,CA
Guisados,"1261 W Sunset Blvd, Los Angeles, CA 90026",34.07025,-118.250266,"Taco Restaurant, South American Restaurant, Vegan and Vegetarian Restaurant",LOS ANGELES,CA
Afuri Ramen,"688 Mateo St, Los Angeles, CA 90021",34.035282,-118.232216,Ramen Restaurant,LOS ANGELES,CA
Bestia,"2121 E 7th Pl (at Santa Fe Ave), Los Angeles, CA 90021",34.033656,-118.229286,"Pizzeria, Italian Restaurant",LOS ANGELES,CA
Majordomo,"1725 Naud St, Los Angeles, CA 90012",34.069074,-118.226112,"American Restaurant, Asian Restaurant",LOS ANGELES,CA
Soho Warehouse,"1000 S Santa Fe Ave, Los Angeles, CA 90021",34.031311,-118.229596,"Dining and Drinking, Hotel, Gym and Studio",LOS ANGELES,CA
Langer's,"704 S Alvarado St (at 7th St), Los Angeles, CA 90057",34.056229,-118.276779,"Deli, Sandwich Spot",LOS ANGELES,CA
Holbox,"3655 S Grand Ave, Los Angeles, CA 90007",34.017412,-118.278288,"Mexican Restaurant, Seafood Restaurant, South American Restaurant",LOS ANGELES,CA
Wax Paper,"2902 Knox Ave (Blake Ave), Los Angeles, CA 90039",34.102775,-118.243435,"Coffee Shop, American Restaurant, Sandwich Spot",LOS ANGELES,CA
Spoke Bicycle Cafe,"3050 N North Coolidge Ave, Los Angeles, CA 90039",34.105136,-118.24362,"Café, Coffee Shop, Restaurant",LOS ANGELES,CA
Proof Bakery,"3156 Glendale Blvd (at Madera Ave), Los Angeles, CA 90039",34.116899,-118.261535,"Bakery, Sandwich Spot",LOS ANGELES,CA
Larchmont Wine and Cheese,"223 N Larchmont Blvd (at Beverly Blvd), Los Angeles, CA 90004",34.07533,-118.323877,"Deli, Mediterranean Restaurant, Sandwich Spot",LOS ANGELES,CA
Pizzeria Mozza,"641 N Highland Ave, Los Angeles, CA 90036",34.08315,-118.338747,Pizzeria,LOS ANGELES,CA
Highly Likely,"4310 W Jefferson Blvd, Los Angeles, CA 90016",34.025318,-118.343355,"Café, Coffee Shop, Restaurant",LOS ANGELES,CA
Tacos 1986,"7235 Beverly Blvd (Alta Vista Blvd), Los Angeles, CA 90036",34.076417,-118.347101,Taco Restaurant,LOS ANGELES,CA
Sycamore,"911 N Sycamore Ave, Los Angeles, CA 90038",34.087345,-118.342997,"Dining and Drinking, Café, Bakery",LOS ANGELES,CA
Milkfarm Artisan Cheese Shop,"2106 Colorado Blvd, Los Angeles, CA 90041",34.138892,-118.212304,"Wine Bar, Deli, Sandwich Spot",LOS ANGELES,CA
Angelini Alimentari,"7317 Beverly Blvd (btwn N Fuller Ave & N Poinsettia Pl), Los Angeles, CA 90036",34.076411,-118.349223,Italian Restaurant,LOS ANGELES,CA
Delicious Pizza,"5419 W Adams Blvd, Los Angeles, CA 90016",34.032689,-118.360892,Pizzeria,LOS ANGELES,CA
Jon & Vinny's,"412 N Fairfax Ave, Los Angeles, CA 90036",34.078663,-118.361221,"Pizzeria, Italian Restaurant",LOS ANGELES,CA
Sweetgreen,"8055 W 3rd St (at S Laurel Ave), Los Angeles, CA 90048",34.072308,-118.365058,"Restaurant, Vegan and Vegetarian Restaurant",LOS ANGELES,CA
Ysabel West Hollywood,"945 N Fairfax Ave, West Hollywood, CA 90046",34.088648,-118.36184,"Cocktail Bar, Wine Bar, New American Restaurant",LOS ANGELES,CA
Joan's on Third,"8350 W 3rd St (at Kings Rd), Los Angeles, CA 90048",34.072678,-118.371856,"Bakery, Café, American Restaurant",LOS ANGELES,CA
Urth Caffé- Melrose,"8565 Melrose Ave (at Westmount Dr), West Hollywood, CA 90069",34.082134,-118.378902,"Café, Coffee Shop, American Restaurant",LOS ANGELES,CA
Sugarfish | Beverly Hills,"212 N Canon Dr (at Clifton Way), Beverly Hills, CA 90210",34.068267,-118.39829,"Sushi Restaurant, Seafood Restaurant",LOS ANGELES,CA
N/Naka,"3455 Overland Ave, Los Angeles, CA 90034",34.02514,-118.41221,Sushi Restaurant,LOS ANGELES,CA
The Boiling Crab,"10875 Kinross Ave, Los Angeles, CA 90024",34.060945,-118.444668,"Cajun and Creole Restaurant, Seafood Restaurant",LOS ANGELES,CA
Kazunori,"1110 Gayley Ave, Los Angeles, CA 90024",34.059954,-118.445921,Sushi Restaurant,LOS ANGELES,CA
Superba Food + Bread,"1900 Lincoln Blvd (at Marco Pl), Venice, CA 90291",33.996219,-118.456361,"Bakery, New American Restaurant",LOS ANGELES,CA
Mendocino Farms,"14141 Ventura Blvd (at Stansbury Ave), Sherman Oaks, CA 91423",34.149986,-118.441305,"Deli, New American Restaurant, Sandwich Spot",LOS ANGELES,CA
Wurstküche,"625 Lincoln Blvd, Venice, CA 90291",33.999733,-118.464981,"Beer Bar, Hot Dog Joint, German Restaurant",LOS ANGELES,CA
Gjelina,"1429 Abbot Kinney Blvd (at Millwood Ave), Venice, CA 90291",33.990568,-118.465007,"Pizzeria, Mediterranean Restaurant, New American Restaurant",LOS ANGELES,CA
The Win-Dow at American Beauty,"425 Rose Ave, Los Angeles, CA 90291",33.998106,-118.474557,"Burger Joint, Seafood Restaurant, Steakhouse",LOS ANGELES,CA
Felix,"1023 Abbot Kinney Blvd, Venice, CA 90291",33.992218,-118.471822,Italian Restaurant,LOS ANGELES,CA
Gjusta,"320 Sunset Ave, Venice, CA 90291",33.995205,-118.474356,"Bakery, Café, Deli",LOS ANGELES,CA
Great White,"1604 Pacific Ave (Winward Avenue), Venice, CA 90291",33.98769,-118.47173,"Café, American Restaurant, Australian Restaurant",LOS ANGELES,CA
Cobi's,"2104 Main St, Santa Monica, CA 90405",34.006074,-118.488143,"Indian Restaurant, Thai Restaurant",LOS ANGELES,CA
Kazunori,"120 Broadway, Santa Monica, CA 90401",34.013035,-118.495775,"Bar, Sushi Restaurant",LOS ANGELES,CA
In-N-Out Burger,"7220 Balboa Blvd, Los Angeles, CA 91406",34.201866,-118.500605,"Burger Joint, Fast Food Restaurant",LOS ANGELES,CA
Brent's Delicatessen & Restaurant,"19565 Parthenia St, Northridge, CA 91324",34.228982,-118.56062,"Deli, American Restaurant, Sandwich Spot",LOS ANGELES,CA
San Pedro Cafe & Deli,"605 S Pacific Ave (at 6th St), San Pedro, CA 90731",33.738543,-118.288182,"Deli, Diner, Mexican Restaurant",LOS ANGELES,CA
