name,location,latitude,longitude,description,city,state
Sweetgreen,"8 E 18th St, New York, NY 10003",40.738122,-73.991204,"Salad Restaurant, Vegan and Vegetarian Restaurant",NEW YORK CITY,NY
KazuNori: The Original Hand Roll Bar,"15 W 28th St, New York, NY 10001",40.745328,-73.988081,Sushi Restaurant,NEW YORK CITY,NY
Jua,"36 E 22nd St (btw Broadway & Park Ave S), New York, NY 10010",40.739781,-73.987732,Korean Restaurant,NEW YORK CITY,NY
Gramercy Tavern,"42 E 20th St (btwn Broadway & Park Ave), New York, NY 10003",40.738484,-73.988442,"Bar, New American Restaurant",NEW YORK CITY,NY
Cava,"325 Park Ave S (at E 24th St), New York, NY 10010",40.740891,-73.985665,Restaurant,NEW YORK CITY,NY
Breads Bakery,"18 E 16th St (btwn Union Sq W & 5th Ave), New York, NY 10003",40.736592,-73.99193,"Bakery, Restaurant",NEW YORK CITY,NY
Daily Provisions,"103 E 19th St (btwn Park Avenue S & Irving Pl), New York, NY 10003",40.73768,-73.987606,"Bakery, American Restaurant, Sandwich Spot",NEW YORK CITY,NY
Union Square Cafe,"101 E 19th St (at Park Ave), New York, NY 10003",40.73768,-73.987606,New American Restaurant,NEW YORK CITY,NY
Xi'an Famous Foods,"96 8th Ave (15th Street), New York, NY 10011",40.740154,-74.001808,"Burger Joint, Chinese Restaurant",NEW YORK CITY,NY
Shukette,"230 9th Ave (at W 24th St), New York, NY 10001",40.747368,-74.00039,Middle Eastern Restaurant,NEW YORK CITY,NY
Mah-Ze-Dahr Bakery,"28 Greenwich Ave (Charles Street), New York, NY 10011",40.735081,-73.999905,"Bakery, American Restaurant, French Restaurant",NEW YORK CITY,NY
4 Charles Prime Rib,"4 Charles St (Greenwich Ave), New York, NY 10014",40.735115,-74.000649,"American Restaurant, Steakhouse",NEW YORK CITY,NY
Los Mariscos,"409 W 15th St (9th Ave), New York, NY 10011",40.74215,-74.005774,"Taco Restaurant, Seafood Restaurant",NEW YORK CITY,NY
Soothr,"204 E 13th St (3rd Ave), New York, NY 10003",40.732238,-73.987349,"Cocktail Bar, Thai Restaurant",NEW YORK CITY,NY
